aX,aY,aZ,gX,gY,gZ
-0.109,-0.19,2.416,20.386,-76.782,13
-0.153,-0.201,2.461,24.231,-64.575,8.911
-0.769,-0.219,1.17,44.128,3.113,8.057
0.639,-0.464,1.855,96.924,334.473,23.621
1.035,0.205,1.833,16.479,297.974,21.606
0.672,0.214,1.561,-38.635,93.994,20.264
-0.216,-0.373,1.59,2.869,-80.627,22.827
-0.52,0.122,2.481,-28.503,-191.956,8.606
-0.359,0.151,3.141,-33.447,-189.148,-0.061
-0.03,0.008,2.593,-11.292,-62.256,4.883
0.02,0.107,2.615,-16.235,-7.141,19.409
0.072,0.15,2.725,-23.071,3.906,20.63
0.045,0.197,2.835,-27.161,15.991,15.015
-0.03,0.096,2.85,-28.137,34.851,5.676
-0.029,0.078,2.785,-34.18,59.326,1.709
-0.043,0.074,2.658,-41.199,85.51,3.174
-0.129,0.043,2.5,-46.631,107.788,1.221
-0.293,-0.067,2.24,-50.781,129.089,-1.709
-0.436,-0.218,1.9,-54.565,144.531,1.343
-0.505,-0.258,1.665,-63.232,149.536,8.362
-0.485,-0.292,1.516,-70.313,148.071,13.062
-0.437,-0.327,1.453,-68.481,146.118,14.343
-0.393,-0.25,1.415,-61.768,146.423,11.719
-0.382,-0.243,1.281,-50.598,150.024,6.348
-0.335,-0.185,1.174,-41.687,149.17,2.502
-0.277,-0.028,1.085,-36.743,145.081,0.305
-0.267,0.115,0.984,-34.912,139.893,-6.714
-0.261,0.167,0.83,-39.185,133.301,-17.822
-0.254,0.139,0.705,-53.345,123.474,-26.123
-0.323,0.136,0.644,-72.815,112.061,-24.048
0.42,-0.009,0.066,2.38,-1.099,-12.146
0.447,-0.073,0.091,6.714,-5.249,-12.512
0.469,-0.078,0.125,12.756,-6.592,-10.986
0.436,-0.053,0.119,21.179,-6.714,-10.254
0.379,-0.022,0.089,28.931,-7.568,-10.254
0.351,-0.014,0.049,32.166,-9.949,-8.606
0.348,-0.029,0.062,32.349,-14.038,-4.456
0.36,-0.07,0.068,31.982,-18.311,1.77
0.359,-0.09,0.091,31.799,-22.156,8.24
0.338,-0.051,0.112,33.447,-26.245,12.817
0.299,-0.013,0.108,35.706,-30.273,15.93
0.284,0.027,0.141,34.241,-34.668,20.02
0.284,0.072,0.173,29.541,-39.246,25.024
0.269,0.126,0.22,23.56,-44.495,27.588
0.233,0.167,0.224,16.052,-49.438,27.039
0.192,0.116,0.241,7.202,-53.955,25.452
0.208,0.027,0.278,-2.991,-58.105,27.71
0.24,-0.017,0.349,-10.986,-61.34,33.569
0.285,-0.058,0.409,-12.268,-63.049,36.438
0.299,-0.074,0.478,-7.141,-62.378,37.231
0.292,-0.015,0.514,0.793,-59.509,39.001
0.263,0.058,0.515,10.193,-55.786,39.246
0.206,0.081,0.467,20.447,-54.138,38.208
0.188,0.144,0.373,26.978,-54.138,37.659
0.121,0.214,0.298,30.457,-56.946,35.461
0.063,0.23,0.252,32.532,-62.561,33.997
-0.006,0.296,0.263,31.189,-71.228,34.546
0.004,0.245,0.284,27.71,-82.581,32.288
0.053,0.124,0.465,21.973,-96.68,31.189
0.074,0.102,0.665,15.686,-102.112,40.405
0.097,0.056,0.741,15.808,-91.064,49.683
0.106,0.018,0.764,21.973,-78.796,51.758
0.066,-0.003,0.716,32.41,-72.571,47.058
0.019,0.07,0.64,43.091,-68.298,37.537
-0.102,0.184,0.565,48.035,-70.74,28.137
-0.252,0.299,0.523,44.495,-78.613,20.264
-0.271,0.247,0.535,35.461,-95.52,17.334
-0.168,0.083,0.776,21.423,-115.54,20.813
-0.034,-0.033,1.15,6.653,-127.991,30.334
0.063,-0.148,1.403,7.019,-116.821,42.175
0.054,-0.242,1.516,27.344,-94.116,46.875
0.063,-0.175,1.46,54.871,-71.35,40.771
0.04,-0.082,1.313,78.918,-54.626,27.466
-0.016,0.03,1.222,90.027,-47.852,14.954
-0.201,0.106,1.219,85.266,-48.889,3.784
-0.33,0.201,1.256,72.51,-54.016,-5.92
-0.403,0.073,1.038,57.983,-46.814,-15.93
-0.35,-0.113,0.732,43.762,-54.688,-11.414
-0.504,-0.364,1.308,28.076,-134.277,-0.854
-0.256,-0.385,1.716,22.766,-151.733,16.785
0.007,-0.257,1.906,36.499,-132.446,22.583
-0.013,-0.154,2.072,60.547,-114.319,6.592
-0.155,-0.076,1.961,79.895,-85.632,-11.719
-0.346,0,1.79,83.313,-45.959,-16.907
-0.21,0.106,1.491,72.876,-25.696,-8.118
-0.212,0.04,1.794,49.805,-54.749,-3.906
-0.1,-0.047,1.954,30.212,-67.078,2.625
-1.231,-0.062,0.69,-21.912,15.076,89.05
-0.756,-0.577,1.477,-48.401,-47.546,48.645
-0.013,-0.498,1.24,-46.936,20.691,44.434
0.333,-0.322,1.668,-28.015,9.827,83.13
0.363,-0.049,2.183,-3.662,-25.452,85.205
0.414,0.244,2.434,14.954,-26.306,57.922
0.441,0.189,2.537,38.208,-13.611,26.489
0.543,0.189,2.71,42.603,-2.38,12.329
0.633,0.276,2.854,25.452,11.963,13.367
0.632,0.336,2.911,0.977,31.616,15.259
0.487,0.326,2.792,-21.667,57.922,12.878
0.268,0.196,2.487,-39.978,83.679,1.953
0.103,-0.029,2.246,-51.941,94.116,-10.986
-0.013,-0.194,2.068,-60.059,88.623,-21.057
-0.085,-0.322,1.971,-62.378,85.693,-24.048
-0.102,-0.373,1.82,-55.664,94.543,-18.066
-0.133,-0.383,1.74,-43.945,101.868,-9.094
-0.176,-0.37,1.63,-30.64,108.215,-1.16
-0.14,-0.176,1.543,-19.592,112.671,5.066
-0.134,-0.025,1.482,-12.634,113.708,2.625
-0.167,0.11,1.391,-15.015,116.394,-2.869
-0.156,0.191,1.311,-31.128,118.347,-3.296
-0.143,0.127,1.194,-54.749,118.042,0.488
-0.099,0.036,1.142,-82.886,113.159,4.883
-0.075,-0.084,1.07,-103.027,110.779,8.545
-0.046,-0.179,0.986,-111.023,110.352,9.644
-0.02,-0.287,0.853,-108.276,111.694,4.272
-0.057,-0.324,0.705,-96.619,112.122,-1.587
-0.15,-0.258,0.531,-80.75,111.45,-7.019
-0.255,-0.255,0.251,-62.5,105.042,-15.625
-0.085,-0.322,1.971,-62.378,85.693,-24.048
-0.102,-0.373,1.82,-55.664,94.543,-18.066
-0.133,-0.383,1.74,-43.945,101.868,-9.094
-0.176,-0.37,1.63,-30.64,108.215,-1.16
-0.14,-0.176,1.543,-19.592,112.671,5.066
-0.134,-0.025,1.482,-12.634,113.708,2.625
-0.167,0.11,1.391,-15.015,116.394,-2.869
-0.156,0.191,1.311,-31.128,118.347,-3.296
-0.143,0.127,1.194,-54.749,118.042,0.488
-0.099,0.036,1.142,-82.886,113.159,4.883
-0.075,-0.084,1.07,-103.027,110.779,8.545
-0.046,-0.179,0.986,-111.023,110.352,9.644
-0.02,-0.287,0.853,-108.276,111.694,4.272
-0.057,-0.324,0.705,-96.619,112.122,-1.587
-0.15,-0.258,0.531,-80.75,111.45,-7.019
-0.255,-0.255,0.251,-62.5,105.042,-15.625
-0.312,-0.224,0.039,-47.363,90.454,-23.743
-0.365,-0.296,-0.084,-37.231,72.144,-28.259
-0.281,-0.305,-0.087,-31.067,56.152,-24.17
-0.099,-0.165,-0.043,-26.428,41.199,-17.456
-0.027,-0.083,0.087,-20.63,29.724,-18.372
0.019,-0.034,0.096,-14.526,25.757,-21.912
0.1,-0.042,0.131,-14.343,25.879,-21.057
0.127,0.001,0.276,-18.494,22.766,-16.113
0.212,0.107,0.319,-22.705,22.461,-9.705
0.213,0.192,0.429,-23.132,27.1,-11.963
0.214,0.279,0.46,-21.851,33.081,-17.944
0.208,0.254,0.439,-23.743,37.598,-22.4
0.193,0.131,0.45,-31.25,37.109,-22.217
0.238,0.038,0.433,-40.405,39.429,-15.93
0.306,-0.05,0.378,-42.419,43.884,-9.949
0.361,-0.119,0.309,-37.17,47.119,-8.362
0.386,-0.099,0.183,-26.428,50.659,-7.935
0.266,0.083,-0.177,-0.122,19.043,-13.306
0.279,0.109,-0.221,4.883,12.695,-12.878
0.294,0.171,-0.221,9.277,7.629,-11.719
0.277,0.25,-0.239,11.414,1.77,-9.094
0.246,0.272,-0.295,7.751,-4.7,-8.057
0.241,0.23,-0.292,0,-15.686,-6.836
0.285,0.165,-0.233,-8.362,-26.672,-3.967
0.349,0.125,-0.252,-13.794,-32.043,0.671
0.3,0.109,-0.26,-15.198,-39.978,3.662
0.256,0.105,-0.26,-13.428,-49.438,4.883
0.25,0.129,-0.24,-12.512,-57.678,6.165
0.23,0.13,-0.202,-12.268,-66.65,5.798
0.241,0.087,-0.122,-13.55,-76.294,5.249
0.265,0.035,-0.037,-15.808,-82.642,7.751
0.275,0.01,0.061,-17.395,-86.731,12.817
0.252,0.026,0.133,-16.541,-87.341,16.479
0.229,0.025,0.162,-12.939,-85.938,16.479
0.224,0.006,0.175,-7.874,-84.9,14.893
0.203,-0.033,0.178,-1.831,-85.266,14.954
0.194,-0.049,0.181,6.836,-86.365,16.602
0.122,0.024,0.148,16.907,-88.196,20.935
0.023,0.104,0.154,25.94,-92.346,24.048
-0.037,0.129,0.187,32.043,-99.854,24.231
-0.04,0.101,0.241,33.997,-108.032,25.024
0.007,0.043,0.376,33.569,-115.54,27.771
0.024,-0.004,0.499,33.997,-119.202,31.128
0.023,-0.031,0.596,39.063,-119.568,32.227
0.02,-0.095,0.685,46.021,-119.507,29.907
-0.047,-0.046,0.792,54.565,-122.314,27.405
-0.14,-0.01,0.77,64.392,-119.141,23.56
-0.179,-0.026,0.865,67.993,-113.281,20.874
-0.149,-0.209,1.395,21.912,-125.427,37.476
-0.033,-0.171,1.527,38.391,-119.019,37.598
-0.008,-0.047,1.528,58.289,-104.614,29.48
-0.058,0.049,1.443,72.693,-86.06,20.813
-0.139,0.079,1.389,77.454,-77.393,15.259
-0.263,0.139,1.429,72.571,-73.853,14.343
-0.354,0.214,1.427,63.965,-68.726,12.024
-0.496,0.184,1.365,57.129,-64.331,7.874
-0.371,0.106,1.396,48.523,-72.754,3.723
-0.235,-0.089,1.563,40.1,-68.115,0.793
-0.051,-0.151,1.494,37.048,-59.998,9.277
-0.134,-0.206,1.968,35.889,-96.985,9.277
-0.03,-0.208,1.96,42.786,-68.665,13.489
-0.033,-0.15,1.894,50.842,-37.659,13.428
-0.173,-0.135,1.848,55.725,-21.24,3.906
-0.396,-0.067,1.784,56.396,-10.986,-3.174
-0.522,0.01,1.581,54.443,-4.456,-5.676
-0.539,-0.012,1.624,50.11,-16.357,-8.484
-0.38,-0.055,1.865,41.077,-36.987,-6.714
-0.168,-0.072,2.081,32.166,-45.593,-2.93
-0.027,-0.129,2.222,25.33,-42.358,0.122
-0.1,-0.161,1.054,19.714,16.541,7.507
0.683,-0.2,1.719,17.517,238.892,28.87
0.426,-0.108,1.663,7.202,156.616,20.935
0.244,-0.159,1.572,6.104,0.488,11.169
-0.458,-0.218,2.711,1.648,-131.836,8.179
-0.384,-0.096,3.077,-6.47,-128.845,7.324
0.105,-0.066,2.399,-0.732,5.066,12.268
-0.032,-0.039,2.525,-0.732,19.409,7.202
-0.017,-0.096,2.579,-9.033,20.508,1.892
0.039,-0.036,2.658,-21.24,34.18,9.155
-0.168,-0.169,2.271,18.555,-85.51,14.282
-0.109,-0.19,2.416,20.386,-76.782,13
-0.153,-0.201,2.461,24.231,-64.575,8.911
-0.769,-0.219,1.17,44.128,3.113,8.057
0.639,-0.464,1.855,96.924,334.473,23.621
1.035,0.205,1.833,16.479,297.974,21.606
0.672,0.214,1.561,-38.635,93.994,20.264
-0.216,-0.373,1.59,2.869,-80.627,22.827
-0.52,0.122,2.481,-28.503,-191.956,8.606
-0.359,0.151,3.141,-33.447,-189.148,-0.061
-0.03,0.008,2.593,-11.292,-62.256,4.883
0.02,0.107,2.615,-16.235,-7.141,19.409
0.072,0.15,2.725,-23.071,3.906,20.63
0.045,0.197,2.835,-27.161,15.991,15.015
-0.03,0.096,2.85,-28.137,34.851,5.676
-0.029,0.078,2.785,-34.18,59.326,1.709
-0.043,0.074,2.658,-41.199,85.51,3.174
-0.129,0.043,2.5,-46.631,107.788,1.221
-0.293,-0.067,2.24,-50.781,129.089,-1.709
-0.436,-0.218,1.9,-54.565,144.531,1.343
-0.505,-0.258,1.665,-63.232,149.536,8.362
-0.485,-0.292,1.516,-70.313,148.071,13.062
-0.437,-0.327,1.453,-68.481,146.118,14.343
-0.393,-0.25,1.415,-61.768,146.423,11.719
-0.382,-0.243,1.281,-50.598,150.024,6.348
-0.335,-0.185,1.174,-41.687,149.17,2.502
-0.277,-0.028,1.085,-36.743,145.081,0.305
-0.267,0.115,0.984,-34.912,139.893,-6.714
-0.261,0.167,0.83,-39.185,133.301,-17.822
-0.254,0.139,0.705,-53.345,123.474,-26.123
-0.323,0.136,0.644,-72.815,112.061,-24.048
0.42,-0.009,0.066,2.38,-1.099,-12.146
0.447,-0.073,0.091,6.714,-5.249,-12.512
0.469,-0.078,0.125,12.756,-6.592,-10.986
0.436,-0.053,0.119,21.179,-6.714,-10.254
0.379,-0.022,0.089,28.931,-7.568,-10.254
0.351,-0.014,0.049,32.166,-9.949,-8.606
0.348,-0.029,0.062,32.349,-14.038,-4.456
0.36,-0.07,0.068,31.982,-18.311,1.77
0.359,-0.09,0.091,31.799,-22.156,8.24
0.338,-0.051,0.112,33.447,-26.245,12.817
0.299,-0.013,0.108,35.706,-30.273,15.93
0.284,0.027,0.141,34.241,-34.668,20.02
0.284,0.072,0.173,29.541,-39.246,25.024
0.269,0.126,0.22,23.56,-44.495,27.588
0.233,0.167,0.224,16.052,-49.438,27.039
0.192,0.116,0.241,7.202,-53.955,25.452
0.208,0.027,0.278,-2.991,-58.105,27.71
0.24,-0.017,0.349,-10.986,-61.34,33.569
0.285,-0.058,0.409,-12.268,-63.049,36.438
0.299,-0.074,0.478,-7.141,-62.378,37.231
0.292,-0.015,0.514,0.793,-59.509,39.001
0.263,0.058,0.515,10.193,-55.786,39.246
0.206,0.081,0.467,20.447,-54.138,38.208
0.188,0.144,0.373,26.978,-54.138,37.659
0.121,0.214,0.298,30.457,-56.946,35.461
0.063,0.23,0.252,32.532,-62.561,33.997
-0.006,0.296,0.263,31.189,-71.228,34.546
0.004,0.245,0.284,27.71,-82.581,32.288
0.053,0.124,0.465,21.973,-96.68,31.189
0.074,0.102,0.665,15.686,-102.112,40.405
0.097,0.056,0.741,15.808,-91.064,49.683
0.106,0.018,0.764,21.973,-78.796,51.758
0.066,-0.003,0.716,32.41,-72.571,47.058
0.019,0.07,0.64,43.091,-68.298,37.537
-0.102,0.184,0.565,48.035,-70.74,28.137
-0.252,0.299,0.523,44.495,-78.613,20.264
-0.271,0.247,0.535,35.461,-95.52,17.334
-0.168,0.083,0.776,21.423,-115.54,20.813
-0.034,-0.033,1.15,6.653,-127.991,30.334
0.063,-0.148,1.403,7.019,-116.821,42.175
0.054,-0.242,1.516,27.344,-94.116,46.875
0.063,-0.175,1.46,54.871,-71.35,40.771
0.04,-0.082,1.313,78.918,-54.626,27.466
-0.016,0.03,1.222,90.027,-47.852,14.954
-0.201,0.106,1.219,85.266,-48.889,3.784
-0.33,0.201,1.256,72.51,-54.016,-5.92
-0.403,0.073,1.038,57.983,-46.814,-15.93
-0.35,-0.113,0.732,43.762,-54.688,-11.414
-0.504,-0.364,1.308,28.076,-134.277,-0.854
-0.256,-0.385,1.716,22.766,-151.733,16.785
0.007,-0.257,1.906,36.499,-132.446,22.583
