aX,aY,aZ,gX,gY,gZ
0.012,-0.065,0.97,-0.305,-0.671,0.793
0.006,-0.066,0.972,-0.183,-1.587,0.916
0.004,-0.065,0.974,-0.122,-2.014,0.854
0.004,-0.067,0.975,-0.122,-2.38,0.671
0.005,-0.069,0.975,-0.183,-2.747,0.488
0.01,-0.071,0.974,-0.122,-2.625,0.366
0.016,-0.071,0.97,-0.183,-2.258,0.305
0.015,-0.072,0.969,-0.183,-2.625,0.488
0.015,-0.072,0.97,-0.183,-2.625,0.427
0.012,-0.072,0.97,-0.122,-2.991,0.427
0.008,-0.071,0.972,0,-3.357,0.488
0.008,-0.071,0.974,-0.122,-3.479,0.427
0.032,-0.071,0.975,-0.061,-3.967,0.549
0.122,-0.056,0.979,-0.061,-3.479,1.526
0.042,-0.058,0.97,0.305,-1.404,2.808
0.037,-0.052,0.965,0.305,-2.075,3.235
0.045,-0.06,0.973,0.244,-2.441,0.427
0.085,-0.063,0.972,-0.183,-2.747,-3.113
0.076,-0.054,0.974,-0.305,-2.747,0.305
0.05,-0.079,0.965,0.427,-2.808,5.005
0.099,-0.068,0.981,0,-3.296,2.014
0.084,-0.055,0.977,0.122,-2.441,0.488
0.065,-0.091,0.965,-0.061,-2.808,2.319
0.103,-0.074,0.969,0.061,-3.235,1.831
0.106,-0.063,0.973,-0.061,-3.235,2.136
0.879,0.388,2,-82.764,-161.011,-17.273
0.269,-0.095,0.878,-57.739,70.129,-5.554
0.139,-0.304,0.79,-5.676,67.261,12.695
0.204,0.021,0.98,-6.592,4.456,28.625
0.22,0.069,0.973,-21.606,8.972,27.344
0.284,0.256,1.068,1.404,10.376,4.395
0.276,0.172,0.929,4.7,6.653,-16.357
0.281,0.048,0.882,-0.061,3.54,-24.536
0.326,0.016,0.955,1.16,-4.883,-27.771
0.353,-0.034,0.984,0.793,-5.371,-32.898
0.368,-0.065,0.927,0.854,-2.075,-36.133
0.364,-0.084,0.921,-1.16,0.488,-32.715
0.386,-0.01,0.975,-3.174,0.061,-26.794
0.41,0.039,1.006,-5.066,0.916,-24.841
0.396,0.021,0.97,-6.287,5.005,-25.269
0.369,0.008,0.95,-6.226,6.958,-24.841
0.375,-0.039,0.96,-5.371,5.554,-22.827
0.377,-0.076,0.95,-5.066,6.287,-19.531
-0.436,-0.071,0.996,-0.122,-0.732,37.354
-0.405,-0.046,1,-1.953,0.366,36.194
-0.387,0.022,1,-1.404,1.343,33.203
-0.368,0.068,1,-0.122,2.075,28.259
-0.351,0.038,1.004,-0.671,2.625,21.484
-0.281,-0.008,0.994,-3.723,3.662,16.663
-0.205,-0.019,0.982,-1.648,4.456,16.479
-0.161,0.016,1.004,-2.869,5.188,16.785
-0.13,0.012,1.012,-1.709,6.165,15.625
-0.094,-0.002,0.975,-1.526,8.484,15.015
-0.08,-0.044,0.979,-3.235,9.155,14.526
-0.119,-0.077,0.99,-1.038,6.287,12.878
-0.12,-0.078,0.991,-4.761,5.676,11.78
-0.085,-0.038,0.982,-6.042,4.822,10.803
-0.059,-0.056,0.982,-5.066,4.028,6.165
-0.017,-0.13,0.976,-2.93,3.723,-0.732
0.041,-0.178,0.966,-4.944,4.822,-4.944
0.067,-0.169,0.96,-4.028,3.662,-5.798
0.062,-0.089,0.978,-2.197,0.671,-4.7
0.057,-0.042,0.992,-2.563,-0.183,-5.798
0.058,-0.074,0.971,-3.235,-0.061,-9.827
0.07,-0.119,0.963,-2.747,0.244,-15.076
0.116,-0.181,0.964,-1.343,-0.732,-19.104
0.158,-0.226,0.956,-2.686,-0.854,-20.874
0.212,-0.23,0.939,-2.075,-0.854,-18.982
0.269,-0.208,0.943,-2.319,-2.686,-15.564
0.337,-0.182,0.957,-0.183,-4.272,-12.207
-0.041,-0.02,0.99,0.244,-0.977,8.789
-0.05,-0.024,0.986,0.244,-1.404,8.301
-0.058,-0.029,0.984,-0.427,-1.404,7.385
-0.072,-0.041,0.982,-0.793,-1.465,6.47
-0.05,-0.045,0.982,0.061,-1.038,5.92
-0.04,-0.036,0.987,0.549,-0.793,5.432
-0.025,-0.033,0.984,0.366,-0.977,5.737
-0.03,-0.003,0.982,0.122,-0.977,5.615
-0.03,0.004,0.981,-0.122,-0.61,5.066
-0.022,-0.014,0.983,0.793,-0.549,4.211
-0.02,-0.019,0.979,0.366,-0.305,3.601
-0.004,-0.02,0.982,-0.61,-0.61,3.052
-0.005,-0.033,0.981,-0.122,-0.854,2.258
-0.016,-0.054,0.982,-0.732,-0.732,1.709
-0.023,-0.078,0.991,-1.038,-0.854,1.343
-0.025,-0.084,0.98,-0.732,-1.16,1.404
0.002,-0.105,0.969,-0.549,-1.709,2.136
0.007,-0.083,0.982,-0.183,-1.831,3.845
0.007,-0.061,0.978,-1.038,-1.892,5.249
0.008,-0.042,0.978,0.061,-2.075,6.165
0.009,-0.02,0.982,-0.916,-1.892,6.653
-0.005,0.007,0.986,-1.16,-0.977,5.859
0.002,-0.004,0.982,-0.916,-0.549,3.601
-0.003,-0.057,0.979,-0.488,-0.305,0.977
-0.015,-0.095,0.975,-0.244,-0.305,-0.305
-0.016,-0.102,0.977,0.183,-0.732,-0.244
-0.009,-0.096,0.972,0.305,-0.549,0.427
0.015,-0.087,0.975,-1.465,-1.099,1.16
0.011,-0.077,0.977,-0.854,-1.648,2.197
0.024,-0.067,0.979,-0.793,-1.77,3.418
-0.016,-0.102,0.977,0.183,-0.732,-0.244
-0.009,-0.096,0.972,0.305,-0.549,0.427
0.015,-0.087,0.975,-1.465,-1.099,1.16
0.011,-0.077,0.977,-0.854,-1.648,2.197
0.024,-0.067,0.979,-0.793,-1.77,3.418
0.038,-0.046,0.98,-0.671,-1.221,4.761
0.036,-0.033,0.983,-0.977,-0.977,5.493
0.034,-0.017,0.982,-0.793,-1.16,4.944
0.039,-0.04,0.977,0.122,-1.404,3.479
0.026,-0.056,0.977,-0.427,-1.648,2.258
0.031,-0.091,0.981,-0.366,-1.77,1.526
0.025,-0.119,0.973,-0.732,-1.587,1.404
0.01,-0.121,0.972,-0.183,-1.648,2.197
0.042,-0.123,0.97,0.122,-1.587,2.991
0.066,-0.108,0.968,-0.793,-1.526,3.845
0.078,-0.077,0.974,-1.343,-1.831,5.249
0.073,-0.04,0.981,-1.16,-2.075,6.409
0.074,-0.035,0.973,-0.916,-1.953,6.104
0.076,-0.028,0.979,0,-1.953,5.005
0.079,-0.05,0.977,0.122,-2.075,3.967
0.057,-0.068,0.975,-0.366,-2.136,2.686
0.051,-0.1,0.973,0.305,-2.014,1.831
0.053,-0.123,0.971,-0.977,-1.709,1.404
0.068,-0.143,0.97,-0.977,-1.892,1.465
0.084,-0.162,0.967,-1.648,-2.075,2.686
0.092,-0.146,0.969,-1.343,-1.77,4.761
0.09,-0.114,0.973,-0.671,-2.38,7.202
0.103,-0.057,0.972,-0.549,-2.319,8.789
0.125,-0.013,0.974,0.244,-2.563,8.728
0.136,0.002,0.974,-0.061,-3.174,8.301
0.148,0.018,0.974,0.427,-3.174,7.568
0.182,0.186,1.058,-28.992,-0.122,2.258
0.156,0.041,1.237,-36.377,-22.827,-1.953
-0.07,0.061,1.334,-34.729,-44.373,-7.568
-0.044,0.001,1.181,-13.977,-11.963,-15.564
-0.015,-0.057,0.782,4.272,36.682,-21.362
-0.121,-0.108,0.331,4.272,42.969,-17.883
-0.191,-0.187,-0.064,-2.075,19.165,-14.709
-0.266,-0.242,-0.454,-9.216,-13.062,-8.118
1.311,0.547,2.19,10.986,-32.104,8.789
0.036,-0.503,1.105,141.357,-44.8,8.972
-0.337,-0.11,1.003,26.001,-57.251,20.264
0,-0.054,0.997,-8.179,5.371,17.639
-0.013,-0.071,0.977,-3.601,1.648,4.028
-0.014,-0.072,1.027,-2.747,-0.854,2.258
-0.025,-0.067,1.002,-1.221,-2.747,1.16
-0.022,-0.071,0.979,-0.61,-2.319,0.366
-0.01,-0.081,0.975,-0.793,0.916,0.122
-0.005,-0.079,0.963,-1.404,4.883,0.183
0.011,-0.07,0.97,-2.563,9.827,-0.61
