aX,aY,aZ,gX,gY,gZ
-0.318,2.051,1.079,10.681,-7.019,-2.93
-0.327,2.027,1.045,0.671,-2.075,-32.104
-0.316,1.923,1.057,0.244,-4.211,-66.162
-0.286,1.766,1.038,-0.305,-6.348,-94.971
-0.258,1.693,1.038,-2.197,-7.385,-116.333
-0.234,1.679,1.048,-2.075,-7.446,-135.498
-0.229,1.589,1.042,-7.324,-6.592,-156.616
-0.241,1.424,1.026,-7.202,-4.883,-178.223
-0.27,1.251,1.028,-7.751,-1.587,-195.862
-0.321,1.09,1.027,-13.245,2.502,-208.923
-0.383,0.917,1.018,-11.169,2.869,-220.215
-0.422,0.742,1.041,-12.512,1.892,-230.347
-0.471,0.464,1.026,-12.085,1.709,-240.234
-0.501,0.138,1.016,-6.042,0.244,-247.253
-0.258,1.693,1.038,-2.197,-7.385,-116.333
-0.234,1.679,1.048,-2.075,-7.446,-135.498
-0.229,1.589,1.042,-7.324,-6.592,-156.616
-0.241,1.424,1.026,-7.202,-4.883,-178.223
-0.27,1.251,1.028,-7.751,-1.587,-195.862
-0.321,1.09,1.027,-13.245,2.502,-208.923
-0.383,0.917,1.018,-11.169,2.869,-220.215
-0.422,0.742,1.041,-12.512,1.892,-230.347
-0.471,0.464,1.026,-12.085,1.709,-240.234
-0.501,0.138,1.016,-6.042,0.244,-247.253
-0.537,-0.211,0.997,-10.315,2.686,-246.704
-0.555,-0.47,0.988,-15.503,5.432,-239.563
-0.555,-0.661,0.979,-13.977,5.92,-229.431
-0.525,-0.894,0.977,-7.69,3.174,-219.116
-0.49,-1.082,0.96,-8.179,1.709,-206.421
-0.428,-1.186,0.945,-9.094,0.854,-191.65
-0.408,-1.287,0.944,-6.47,-1.77,-178.589
-0.415,-1.457,0.94,-3.052,-2.686,-167.786
-0.442,-1.606,0.943,-3.052,-2.93,-156.555
-0.468,-1.751,0.94,-2.625,-2.747,-145.691
-0.506,-1.948,0.928,-4.639,-1.587,-134.033
-0.577,-2.272,0.915,-0.122,-1.831,-120.85
-0.441,-1.718,0.949,-7.019,18.799,96.68
-0.415,-1.623,0.944,-6.287,14.038,113.708
-0.356,-1.592,0.966,1.221,7.568,129.517
-0.318,-1.404,0.972,1.038,5.798,149.658
-0.267,-1.187,0.967,4.028,5.31,169.8
-0.252,-0.86,0.977,5.92,5.92,185.364
-0.237,-0.571,0.998,8.85,6.287,196.411
-0.226,-0.3,0.986,8.667,6.714,202.209
-0.251,-0.059,0.981,8.789,7.202,204.102
-0.262,0.12,0.99,13.245,5.432,201.782
-0.257,0.255,0.993,11.902,3.479,198.975
-0.258,0.38,1.008,9.644,4.15,197.815
-0.263,0.57,0.995,10.254,4.089,197.998
-0.336,0.761,1.019,13.306,2.808,198.12
-0.354,0.955,1.022,17.09,0.488,194.458
-0.366,1.144,1.041,15.808,-0.244,187.866
-0.364,1.246,1.028,12.207,-0.061,178.833
-0.362,1.368,1.022,15.564,-1.465,170.898
-0.358,1.61,1.013,16.174,-2.014,164.185
-0.334,1.913,1.004,14.954,-3.418,152.893
-0.28,2.163,1.014,17.456,-6.348,134.949
-0.216,2.358,1.029,17.761,-8.911,110.535
-0.152,2.424,1.032,14.282,-8.972,82.153
0.007,2.294,1.035,10.193,-6.714,51.819
-0.243,1.514,0.944,10.864,-3.052,22.278
-0.2,1.834,1.022,21.729,-10.193,7.385
-0.18,2.07,1.075,20.569,-16.479,4.395
-0.151,2.197,1.026,8.301,-11.108,-17.822
-0.12,2.124,1.029,6.104,-12.939,-53.284
-0.053,1.949,1.038,3.479,-14.038,-85.876
-0.01,1.784,1.038,1.343,-13.245,-110.352
-0.012,1.659,1.054,1.099,-11.902,-129.517
-0.025,1.519,1.025,-2.258,-9.033,-146.301
-0.031,1.351,1.009,-6.042,-5.554,-162.109
-0.051,1.196,1.01,-5.31,-5.371,-175.537
-0.841,-1.527,0.97,-0.305,-2.319,-148.865
-0.866,-1.797,0.958,-1.831,-1.892,-141.113
-0.833,-2.219,0.942,-3.601,-1.404,-133.911
-0.782,-2.595,0.926,-3.967,-1.465,-116.455
-0.722,-2.889,0.908,-1.77,-3.54,-89.355
-0.585,-3.069,0.907,1.343,-4.883,-58.044
-0.363,-2.369,0.966,-1.587,0.854,-24.048
-0.533,-2.14,0.927,-14.465,16.174,-1.465
-0.391,-2.54,0.943,-10.193,15.381,18.25
-0.365,-2.414,0.936,-11.78,18.433,55.969
-0.371,-2.002,0.95,-12.268,20.081,94.849
-0.357,-1.654,0.964,-7.874,18.616,119.08
-0.336,-1.413,0.957,-7.874,17.883,132.751
-0.297,-1.297,0.969,-11.353,17.761,143.005
-0.283,-1.165,0.98,-4.211,13.977,151.611
-0.288,-0.98,0.977,-6.775,13.123,162.048
-0.281,-0.791,0.965,-3.967,11.597,170.166
-0.302,-0.602,0.999,3.784,7.874,178.589
-0.199,1.206,0.992,-12.512,4.456,-184.753
-0.238,0.953,1.014,-11.78,2.747,-196.594
-0.292,0.735,1.028,-15.686,3.723,-203.369
-0.321,0.532,0.997,-15.076,3.235,-209.167
-0.345,0.382,1.022,-13,1.099,-214.111
-0.355,0.173,1.011,-13.916,1.526,-219.055
-0.341,-0.112,0.99,-9.949,0.488,-221.436
-0.312,-0.473,0.974,-10.498,-1.16,-217.651
-0.294,-0.799,0.963,-7.69,-0.488,-205.811
-0.279,-1.002,0.945,-8.911,2.014,-186.707
-0.296,-1.196,0.954,-4.761,0.244,-164.795
-0.336,-1.357,0.968,-6.714,1.526,-142.883
-0.4,-1.402,0.95,-7.507,1.77,-121.948
-0.465,-1.261,0.954,-1.16,-1.282,-106.567
-0.541,-1.341,0.972,0.977,-3.418,-106.018
-0.615,-1.714,0.967,-1.648,-3.479,-112.854
-0.674,-2.253,0.954,-1.221,-2.38,-113.22
-0.695,-2.71,0.935,0.122,-1.77,-96.558
-0.723,-2.989,0.924,0.671,-1.831,-64.209
-0.359,-1.274,1.057,-0.061,-1.648,-25.085
-0.853,-2.181,0.973,-19.043,16.357,-0.305
-0.605,-2.578,0.864,-23.987,21.24,-9.155
-0.516,-2.386,0.993,2.686,-0.732,18.311
-0.491,-2.246,0.932,-1.77,3.235,61.401
-0.486,-1.826,0.995,2.502,2.502,96.985
-0.497,-1.669,0.984,-2.502,8.179,118.164
-0.521,-1.593,0.975,-5.737,12.878,131.531
-0.52,-1.538,0.985,-1.404,13.611,146.179
-0.512,-1.41,0.984,-4.456,15.503,163.696
-0.502,-1.167,0.985,-2.93,14.465,181.885
-0.491,-0.886,0.997,0.732,12.695,195.557
-0.208,2.114,0.981,16.418,-2.014,131.042
-0.212,2.204,0.988,18.25,-6.531,110.962
-0.238,2.311,0.976,18.311,-9.277,88.928
-0.245,2.274,0.997,17.395,-12.207,63.721
-0.39,2.202,0.996,18.372,-14.343,36.804
0.13,1.015,1.031,26.001,-20.996,9.033
-0.355,1.528,1.121,34.363,-21.973,1.892
-0.363,2.024,1.086,10.498,-7.568,18.311
-0.355,2.065,1.027,1.892,-4.761,-12.817
-0.317,1.922,1.043,6.592,-9.705,-57.373
-0.251,1.682,1.011,5.737,-12.146,-90.21
-0.198,1.58,1.01,6.47,-13.733,-110.474
-0.17,1.62,1.025,4.089,-12.878,-125
-0.165,1.641,1.031,0.183,-10.681,-141.113
-0.177,1.5,1.043,-6.897,-7.08,-162.109
-0.189,1.277,1.053,-10.132,-1.587,-182.861
-0.245,1.095,1.035,-10.376,3.113,-199.463
-0.314,0.95,1.031,-6.897,4.211,-210.815
-0.373,0.798,1.024,-9.216,2.869,-221.13
-0.414,0.593,1.009,-5.737,0.488,-230.835
-0.436,0.367,1,-2.563,-1.099,-238.708
-0.45,0.146,0.993,-1.038,-1.526,-242.92
-0.456,-0.028,0.987,-5.249,-0.977,-243.591
-0.463,-0.304,0.983,-8.301,0.244,-242.676
-0.468,-0.6,0.972,-6.348,-0.244,-237.976
-0.47,-0.873,0.962,-10.376,1.77,-226.624
-0.493,-1.135,0.958,-10.62,2.747,-211.06
-0.538,-1.299,0.951,-7.446,3.723,-192.688
-0.621,-1.486,0.941,-8.606,6.714,-175.842
-0.723,-1.663,0.947,-1.465,4.028,-160.095
-0.8,-1.767,0.942,-3.357,4.211,-143.494
-0.82,-1.821,0.935,-1.282,2.075,-130.432
-0.763,-2.015,0.939,2.441,-3.113,-122.375
-0.686,-2.398,0.915,0.61,-4.578,-110.291
-0.585,-2.771,0.907,-0.061,-5.493,-86.975
-0.38,-2.849,0.9,0,-4.639,-49.683
-0.64,-1.574,0.979,-5.249,3.784,-8.545
-0.434,-2.007,0.912,-16.541,17.7,1.465
-0.457,-2.153,0.942,-11.047,15.564,-0.366
-0.474,-2.215,0.943,-8.24,15.381,27.344
0.064,0.023,0.906,-3.113,-7.324,3.601
0.082,0.018,0.913,-1.648,-15.198,-2.258
0.04,-0.041,0.928,9.399,-23.56,-5.066
0.011,-0.066,0.91,41.626,-33.691,-6.531
0.049,-0.087,0.749,65.369,-39.124,-4.883
0.452,-0.099,1.03,14.587,-32.227,0.61
0.264,0.064,1.24,-69.275,-38.086,-1.77
0.06,0.075,1.104,-4.15,-23.56,0.977
0.089,0,0.924,24.536,-7.08,6.531
0.068,-0.129,0.937,23.56,-9.949,1.282
0.04,-0.122,0.979,15.747,-15.32,6.287
